row_id,Episode,Season,Show,narration_text
0,e1-Winter is Coming,season-01,Game-of-Thrones,"First scene opens with three Rangers riding through a tunnel, leaving the Wall, and going into the woods. (Eerie music in background) One Ranger splits off and finds a campsite full of mutilated bodies, including a child hanging from a tree branch. A birds-eye view shows the bodies arranged in a shield-like pattern. The Ranger rides back to the other two."
9,e1-Winter is Coming,season-01,Game-of-Thrones,GARED grumbles.
12,e1-Winter is Coming,season-01,Game-of-Thrones,"WILL glares, but obeys. Sometime later, the three Rangers return to the campsite, which is now completely cleared."
16,e1-Winter is Coming,season-01,Game-of-Thrones,"The three look around, swords drawn. They hear the wind and eerie calls. GARED finds a red cloth in the snow."
21,e1-Winter is Coming,season-01,Game-of-Thrones,Blackout
22,e1-Winter is Coming,season-01,Game-of-Thrones,"Riders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN’S shoulder."
24,e1-Winter is Coming,season-01,Game-of-Thrones,We see NED and CATELYN STARK watching from above.
26,e1-Winter is Coming,season-01,Game-of-Thrones,Scene shifts to needlework practice with the girls inside the castle.
30,e1-Winter is Coming,season-01,Game-of-Thrones,"As she murmurs to SANSA about the embroidery, ARYA struggles with her needlework and listens to the arrows hitting and the male laughter outside."
31,e1-Winter is Coming,season-01,Game-of-Thrones,"Outside, BRAN tries and misses again. Everyone laughs."
35,e1-Winter is Coming,season-01,Game-of-Thrones,"BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA."
37,e1-Winter is Coming,season-01,Game-of-Thrones,RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony.
39,e1-Winter is Coming,season-01,Game-of-Thrones,NED grimaces.
41,e1-Winter is Coming,season-01,Game-of-Thrones,THEON departs.
46,e1-Winter is Coming,season-01,Game-of-Thrones,CASSEL nods and departs.
49,e1-Winter is Coming,season-01,Game-of-Thrones,"NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away."
51,e1-Winter is Coming,season-01,Game-of-Thrones,"Scene shifts, and we see WILL being taken to the block."
53,e1-Winter is Coming,season-01,Game-of-Thrones,He and NED face each other.
55,e1-Winter is Coming,season-01,Game-of-Thrones,NED draws Ice from a scabbard held by Theon.
57,e1-Winter is Coming,season-01,Game-of-Thrones,NED bows his head over ICE.
63,e1-Winter is Coming,season-01,Game-of-Thrones,NED swings ICE and beheads WILL. BRAN does not look away.
65,e1-Winter is Coming,season-01,Game-of-Thrones,He walks away. ROBB turns and puts his arm around BRAN and they go to their horses together. NED approaches BRAN.
75,e1-Winter is Coming,season-01,Game-of-Thrones,Scene shifts to a dead stag’s head. The Winterfell men gather on the bridge They see a ravaged deer before them.
79,e1-Winter is Coming,season-01,Game-of-Thrones,"With swords out, they begin to search. NED finds a dead direwolf with antlers through her throat. Her pups are whimpering around her."
82,e1-Winter is Coming,season-01,Game-of-Thrones,NED and CASSEL glance at each other.
84,e1-Winter is Coming,season-01,Game-of-Thrones,He pulls out the antlers.
87,e1-Winter is Coming,season-01,Game-of-Thrones,Jon picks up a pup and offers it to BRAN.
99,e1-Winter is Coming,season-01,Game-of-Thrones,"Everyone looks at NED, BRAN with great hope."
101,e1-Winter is Coming,season-01,Game-of-Thrones,BRAN cradles his pup as JON hands more pups to ROBB.
104,e1-Winter is Coming,season-01,Game-of-Thrones,"JON walks away, pauses, and hears another whimper."
106,e1-Winter is Coming,season-01,Game-of-Thrones,JON pulls up a white wolf pup.
108,e1-Winter is Coming,season-01,Game-of-Thrones,"Scene shifts to bells ringing at Kings Landing. In front of the Iron Throne, surrounded by druidical looking celebrants, lies the body of JON ARRYN. Up in the balcony, CERSEI watches the scene below as JAIME approaches."
111,e1-Winter is Coming,season-01,Game-of-Thrones,"In a whisper, mimicking"
118,e1-Winter is Coming,season-01,Game-of-Thrones,Scene shifts to a raven approaching Winterfell. CATELYN crosses a busy courtyard and finds NED in the godswood.
127,e1-Winter is Coming,season-01,Game-of-Thrones,pause
